Name,Width,MSB index,LSB index,DECB
destsl,2,53,52,0
phimod,8,51,44,0
vec\_mdtid,6,43,38,0
vec\_mdtid,6,37,32,0
vec\_mdtid,6,31,26,0
vec\_mdtid,6,25,20,0
SLC\_MUID,20,19,0,0
