Name,Station,Width,MSB index,LSB index,DECB
slcid,,2,31,30,0
tcsent,,1,29,29,0
poseta,,15,28,14,12
posphi,,9,13,5,0
ptthresh,,4,4,1,0
charge,,1,0,0,0

