Name,Station,Width,MSB index,LSB index,DECB
SLC\_MUID,,20,53,34,0
eta,,15,33,19,12
pt,,9,18,10,2
ptthresh,,4,9,6,0
charge,,1,5,5,0
nsegments,,2,4,3,0
quality,,3,2,0,0

