Name,Station,Width,MSB index,LSB index,DECB
SLC\_MUID,,20,52,33,0
vec\_mdtid,INN,6,32,27,0
vec\_mdtid,MID,6,26,21,0
vec\_mdtid,OUT,6,20,15,0
vec\_mdtid,EXT,6,14,9,0
phimod,,8,8,1,0
charge,,1,0,0,0
