nswseg_angdtheta,5,75,79,0
nswseg_posphi,8,67,74,0
nswseg_poseta,14,53,66,13
seg_angdphi,4,49,52,0
seg_angdtheta,7,42,48,0
SLC_COMMON,42,0,41,0
