Name,Station,Width,MSB index,LSB index,DECB
SLC\_MUID,,20,55,36,0
vec\_mdtid,,6,35,30,0
segvalid,,1,29,29,0
segpos,,17,28,12,3
segangle,,11,11,1,0
segquality,,1,0,0,0

